Municipio;Qtd-Doses-Distribuidas;;;
RIBEIRÃO DOS ÍNDIOS;1126;;;
RIBEIRÃO GRANDE;2217;;;
RIBEIRÃO PIRES;41106;;;
RIBEIRÃO PRETO;242883;;;
RIFAINA;1381;;;
RINCÃO;3377;;;
RINÓPOLIS;3778;;;
RIO CLARO;71734;;;
RIO DAS PEDRAS;8030;;;
RIO GRANDE DA SERRA;11379;;;
RIOLÂNDIA;2913;;;
RIVERSUL;2034;;;
ROSANA;6678;;;
ROSEIRA;3075;;;
RUBIÁCEA;905;;;
RUBINÉIA;1437;;;
SABINO;2364;;;
SAGRES;972;;;
SALES;2345;;;
SALES OLIVEIRA;4268;;;
SALESÓPOLIS;4799;;;
SALMOURÃO;1672;;;
SALTINHO;2764;;;
SALTO;34849;;;
SALTO DE PIRAPORA;13740;;;
SALTO GRANDE;3125;;;
SANDOVALINA;1246;;;
SANTA ADÉLIA;5334;;;
SANTA ALBERTINA;2485;;;
SANTA BÁRBARA D'OESTE;58375;;;
SANTA BRANCA;5013;;;
SANTA CLARA D'OESTE;836;;;
SANTA CRUZ DA CONCEIÇÃO;1811;;;
SANTA CRUZ DA ESPERANÇA;825;;;
SANTA CRUZ DAS PALMEIRAS;9140;;;
SANTA CRUZ DO RIO PARDO;17328;;;
SANTA ERNESTINA;1440;;;
SANTA FÉ DO SUL;15642;;;
SANTA GERTRUDES;5383;;;
SANTA ISABEL;15793;;;
SANTA LÚCIA;2134;;;
SANTA MARIA DA SERRA;1742;;;
SANTA MERCEDES;1010;;;
SANTA RITA DO PASSA QUATRO;12423;;;
SANTA RITA D'OESTE;1182;;;
SANTA ROSA DE VITERBO;9135;;;
SANTA SALETE;790;;;
SANTANA DA PONTE PENSA;808;;;
SANTANA DE PARNAÍBA;35869;;;
SANTO ANASTÁCIO;7919;;;
SANTO ANDRÉ;265365;;;
SANTO ANTÔNIO DA ALEGRIA;2737;;;
SANTO ANTÔNIO DE POSSE;6277;;;
SANTO ANTÔNIO DO ARACANGUÁ;2496;;;
SANTO ANTÔNIO DO JARDIM;2234;;;
SANTO ANTÔNIO DO PINHAL;2190;;;
SANTO EXPEDITO;1267;;;
SANTÓPOLIS DO AGUAPEÍ;1406;;;
SANTOS;225578;;;
SÃO BENTO DO SAPUCAÍ;4138;;;
SÃO BERNARDO DO CAMPO;258730;;;
SÃO CAETANO DO SUL;88579;;;
SÃO CARLOS;88650;;;
SÃO FRANCISCO;1268;;;
SÃO JOÃO DA BOA VISTA;38235;;;
SÃO JOÃO DAS DUAS PONTES;901;;;
SÃO JOÃO DE IRACEMA;799;;;
SÃO JOÃO DO PAU D'ALHO;1100;;;
SÃO JOAQUIM DA BARRA;17554;;;
SÃO JOSÉ DA BELA VISTA;2313;;;
SÃO JOSÉ DO BARREIRO;1428;;;
SÃO JOSÉ DO RIO PARDO;22989;;;
SÃO JOSÉ DO RIO PRETO;179574;;;
SÃO JOSÉ DOS CAMPOS;248004;;;
SÃO LOURENÇO DA SERRA;4244;;;
SÃO LUIZ DO PARAITINGA;3681;;;
SÃO MANUEL;12718;;;
