Municipio;Qtd-Doses-Distribuidas;;
PRESIDENTE PRUDENTE;52039;;
PRESIDENTE VENCESLAU;8935;;
PROMISSAO;6953;;
QUADRA;527;;
QUATA;2258;;
QUEIROZ;526;;
QUELUZ;1661;;
QUINTANA;1294;;
RAFARD;1486;;
RANCHARIA;5688;;
REDENCAO DA SERRA;731;;
REGENTE FEIJO;3327;;
REGINOPOLIS;1228;;
REGISTRO;12586;;
RESTINGA;912;;
RIBEIRA;658;;
RIBEIRAO BONITO;1986;;
RIBEIRAO BRANCO;2141;;
RIBEIRAO CORRENTE;649;;
RIBEIRAO DO SUL;941;;
RIBEIRAO DOS INDIOS;663;;
RIBEIRAO GRANDE;1119;;
RIBEIRAO PIRES;20746;;
RIBEIRAO PRETO;134740;;
RIFAINA;721;;
RINCAO;1749;;
RINOPOLIS;2099;;
RIO CLARO;41368;;
RIO DAS PEDRAS;4084;;
RIO GRANDE DA SERRA;5421;;
RIOLANDIA;1576;;
RIVERSUL;1057;;
ROSANA;3424;;
ROSEIRA;1577;;
RUBIACEA;479;;
RUBINEIA;717;;
SABINO;1309;;
SAGRES;515;;
SALES;1213;;
SALES OLIVEIRA;2316;;
SALESOPOLIS;2481;;
SALMOURAO;926;;
SALTINHO;1362;;
SALTO;18230;;
SALTO DE PIRAPORA;7196;;
SALTO GRANDE;1672;;
SANDOVALINA;601;;
SANTA ADELIA;3026;;
SANTA ALBERTINA;1431;;
SANTA BARBARA D'OESTE;27474;;
SANTA BRANCA;2683;;
SANTA CLARA D'OESTE;419;;
SANTA CRUZ DA CONCEICAO;1002;;
SANTA CRUZ DA ESPERANCA;445;;
SANTA CRUZ DAS PALMEIRAS;4898;;
SANTA CRUZ DO RIO PARDO;9576;;
SANTA ERNESTINA;705;;
SANTA FE DO SUL;8769;;
SANTA GERTRUDES;2743;;
SANTA ISABEL;7845;;
SANTA LUCIA;1094;;
SANTA MARIA DA SERRA;959;;
SANTA MERCEDES;577;;
SANTA RITA DO PASSA QUATRO;6949;;
SANTA RITA D'OESTE;619;;
SANTA ROSA DE VITERBO;4826;;
SANTA SALETE;449;;
SANTANA DA PONTE PENSA;466;;
SANTANA DE PARNAIBA;17084;;
SANTO ANASTACIO;4496;;
SANTO ANDRE;147854;;
SANTO ANTONIO DA ALEGRIA;1490;;
SANTO ANTONIO DE POSSE;3335;;
SANTO ANTONIO DO ARACANGUA;1299;;
SANTO ANTONIO DO JARDIM;1200;;
SANTO ANTONIO DO PINHAL;1127;;
SANTO EXPEDITO;734;;
SANTOPOLIS DO AGUAPEI;745;;
SANTOS;130793;;
SAO BENTO DO SAPUCAI;2241;;
SAO BERNARDO DO CAMPO;136718;;
SAO CAETANO DO SUL;53273;;
SAO CARLOS;49438;;
SAO FRANCISCO;711;;
SAO JOAO DA BOA VISTA;22246;;
SAO JOAO DAS DUAS PONTES;479;;
SAO JOAO DE IRACEMA;433;;
SAO JOAO DO PAU D'ALHO;623;;
SAO JOAQUIM DA BARRA;9912;;
SAO JOSE DA BELA VISTA;1262;;
SAO JOSE DO BARREIRO;737;;
SAO JOSE DO RIO PARDO;12298;;
SAO JOSE DO RIO PRETO;102010;;
SAO JOSE DOS CAMPOS;119948;;
SAO LOURENCO DA SERRA;1986;;
SAO LUIS DO PARAITINGA;1992;;
SAO MANUEL;7003;;
SAO MIGUEL ARCANJO;4720;;
SAO PAULO;2337511;;
SAO PEDRO;7028;;
SAO PEDRO DO TURVO;1326;;
SAO ROQUE;16540;;
SAO SEBASTIAO;10639;;
SAO SEBASTIAO DA GRAMA;2253;;
SAO SIMAO;3038;;
SAO VICENTE;56666;;
SARAPUI;1352;;
SARUTAIA;723;;
SEBASTIANOPOLIS DO SUL;671;;
SERRA AZUL;1694;;
SERRA NEGRA;6352;;
SERRANA;5812;;
SERTAOZINHO;18636;;
SETE BARRAS;2045;;
SEVERINIA;2215;;
SILVEIRAS;1123;;
SOCORRO;8681;;
SOROCABA;111441;;
SUD MENNUCCI;1493;;
SUMARE;33849;;
SUZANAPOLIS;664;;
SUZANO;36931;;
TABAPUA;2423;;
TABATINGA;2392;;
TABOAO DA SERRA;39975;;
TACIBA;1043;;
TAGUAI;1702;;
TAIACU;1361;;
TAIUVA;1382;;
TAMBAU;4301;;
TANABI;5463;;
TAPIRAI;1391;;
TAPIRATIBA;2395;;
TAQUARAL;516;;
TAQUARITINGA;12171;;
TAQUARITUBA;4162;;
TAQUARIVAI;643;;
TARABAI;1061;;
TARUMA;1825;;
TATUI;20701;;
TAUBATE;54952;;
TEJUPA;617;;
TEODORO SAMPAIO;3188;;
TERRA ROXA;1675;;
TIETE;7093;;
TIMBURI;598;;
TORRE DE PEDRA;564;;
TORRINHA;2145;;
TRABIJU;322;;
TREMEMBE;8572;;
TRES FRONTEIRAS;1387;;
TUIUTI;1333;;
TUPA;18198;;
TUPI PAULISTA;4070;;
TURIUBA;501;;
TURMALINA;567;;
UBARANA;735;;
UBATUBA;13241;;
UBIRAJARA;854;;
UCHOA;2208;;
UNIAO PAULISTA;328;;
URANIA;2234;;
URU;334;;
URUPES;2985;;
VALENTIM GENTIL;1874;;
VALINHOS;21240;;
VALPARAISO;4671;;
VARGEM;2140;;
VARGEM GRANDE DO SUL;7871;;
VARGEM GRANDE PAULISTA;6534;;
VARZEA PAULISTA;12995;;
VERA CRUZ;2481;;
VINHEDO;13395;;
VIRADOURO;3003;;
VISTA ALEGRE DO ALTO;1104;;
VITORIA BRASIL;385;;
VOTORANTIM;17216;;
VOTUPORANGA;22959;;
ZACARIAS;511;;
