Municipio;Qtd-Doses-Distribuidas;;;;
SÃO JOSÉ DOS CAMPOS;196714;;;;
SÃO LOURENÇO DA SERRA;3474;;;;
SÃO LUIZ DO PARAITINGA;3206;;;;
SÃO MANUEL;11188;;;;
SÃO MIGUEL ARCANJO;7891;;;;
SÃO PAULO;3673099;;;;
SÃO PEDRO;11296;;;;
SÃO PEDRO DO TURVO;2194;;;;
SÃO ROQUE;26790;;;;
SÃO SEBASTIÃO;17870;;;;
SÃO SEBASTIÃO DA GRAMA;3680;;;;
SÃO SIMÃO;4835;;;;
SÃO VICENTE;93221;;;;
SARAPUÍ;2323;;;;
SARUTAIÁ;1146;;;;
SEBASTIANÓPOLIS DO SUL;1106;;;;
SERRA AZUL;2746;;;;
SERRA NEGRA;10199;;;;
SERRANA;9308;;;;
SERTÃOZINHO;30535;;;;
SETE BARRAS;3396;;;;
SEVERÍNIA;3689;;;;
SILVEIRAS;1796;;;;
SOCORRO;14074;;;;
SOROCABA;180070;;;;
SUD MENNUCCI;2383;;;;
SUMARÉ;57948;;;;
SUZANÁPOLIS;1108;;;;
SUZANO;63772;;;;
TABAPUÃ;3828;;;;
TABATINGA;3918;;;;
TABOÃO DA SERRA;65070;;;;
TACIBA;1689;;;;
TAGUAÍ;2856;;;;
TAIAÇU;2084;;;;
TAIÚVA;2179;;;;
TAMBAÚ;6913;;;;
TANABI;8674;;;;
TAPIRAÍ;2144;;;;
TAPIRATIBA;3874;;;;
TAQUARAL;869;;;;
TAQUARITINGA;18766;;;;
TAQUARITUBA;6698;;;;
TAQUARIVAÍ;1112;;;;
TARABAI;1711;;;;
TARUMÃ;3076;;;;
TATUÍ;32918;;;;
TAUBATÉ;87822;;;;
TEJUPÁ;1083;;;;
TEODORO SAMPAIO;5337;;;;
TERRA ROXA;2669;;;;
TIETÊ;11433;;;;
TIMBURI;971;;;;
TORRE DE PEDRA;865;;;;
TORRINHA;3373;;;;
TRABIJU;544;;;;
TREMEMBÉ;13328;;;;
TRÊS FRONTEIRAS;2151;;;;
TUIUTI;2177;;;;
TUPÃ;27218;;;;
TUPI PAULISTA;6184;;;;
TURIÚBA;803;;;;
TURMALINA;897;;;;
UBARANA;1261;;;;
UBATUBA;22223;;;;
UBIRAJARA;1410;;;;
UCHOA;3441;;;;
UNIÃO PAULISTA;510;;;;
URÂNIA;3476;;;;
URU;516;;;;
URUPÊS;4692;;;;
VALENTIM GENTIL;3098;;;;
VALINHOS;34895;;;;
VALPARAÍSO;6973;;;;
VARGEM;3357;;;;
VARGEM GRANDE DO SUL;12392;;;;
VARGEM GRANDE PAULISTA;11494;;;;
VÁRZEA PAULISTA;23245;;;;
VERA CRUZ;3792;;;;
VINHEDO;21717;;;;
VIRADOURO;4964;;;;
VISTA ALEGRE DO ALTO;1814;;;;
VITÓRIA BRASIL;618;;;;
VOTORANTIM;28521;;;;
VOTUPORANGA;35126;;;;
ZACARIAS;845;;;;
