Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ITARARÉ;1° Dose;2753
ITARARÉ;2° Dose;879
ITARIRI;1° Dose;1060
ITARIRI;2° Dose;305
ITATIBA;1° Dose;7537
ITATIBA;2° Dose;3049
ITATINGA;1° Dose;1196
ITATINGA;2° Dose;338
ITIRAPINA;1° Dose;1089
ITIRAPINA;2° Dose;471
ITIRAPUÃ;1° Dose;534
ITIRAPUÃ;2° Dose;144
ITOBI;1° Dose;651
ITOBI;2° Dose;210
ITU;1° Dose;12590
ITU;2° Dose;4399
ITUPEVA;1° Dose;1992
ITUPEVA;2° Dose;786
ITUVERAVA;1° Dose;2753
ITUVERAVA;2° Dose;1303
JABORANDI;1° Dose;535
JABORANDI;2° Dose;179
JABOTICABAL;1° Dose;5672
JABOTICABAL;2° Dose;2037
JACAREÍ;1° Dose;18379
JACAREÍ;2° Dose;5880
JACI;1° Dose;653
JACI;2° Dose;341
JACUPIRANGA;1° Dose;1090
JACUPIRANGA;2° Dose;333
JAGUARIÚNA;1° Dose;3292
JAGUARIÚNA;2° Dose;639
JALES;1° Dose;6294
JALES;2° Dose;2100
JAMBEIRO;1° Dose;315
JAMBEIRO;2° Dose;158
JANDIRA;1° Dose;4171
JANDIRA;2° Dose;1103
JARDINÓPOLIS;1° Dose;2377
JARDINÓPOLIS;2° Dose;977
JARINU;1° Dose;1853
JARINU;2° Dose;563
JAÚ;1° Dose;12438
JAÚ;2° Dose;5200
JERIQUARA;1° Dose;280
JERIQUARA;2° Dose;86
JOANÓPOLIS;1° Dose;1117
JOANÓPOLIS;2° Dose;372
JOÃO RAMALHO;1° Dose;262
JOÃO RAMALHO;2° Dose;71
JOSÉ BONIFÁCIO;1° Dose;3106
JOSÉ BONIFÁCIO;2° Dose;951
JÚLIO MESQUITA;1° Dose;164
JÚLIO MESQUITA;2° Dose;76
JUMIRIM;1° Dose;205
JUMIRIM;2° Dose;65
JUNDIAÍ;1° Dose;29602
JUNDIAÍ;2° Dose;11152
JUNQUEIRÓPOLIS;1° Dose;1891
JUNQUEIRÓPOLIS;2° Dose;728
JUQUIÁ;1° Dose;1211
JUQUIÁ;2° Dose;273
JUQUITIBA;1° Dose;1879
JUQUITIBA;2° Dose;721
LAGOINHA;1° Dose;494
LAGOINHA;2° Dose;179
LARANJAL PAULISTA;1° Dose;2187
LARANJAL PAULISTA;2° Dose;820
LAVÍNIA;1° Dose;491
LAVÍNIA;2° Dose;165
LAVRINHAS;1° Dose;356
LAVRINHAS;2° Dose;97
LEME;1° Dose;7760
LEME;2° Dose;2677
LENÇÓIS PAULISTA;1° Dose;4832
LENÇÓIS PAULISTA;2° Dose;1615
LIMEIRA;1° Dose;18368
LIMEIRA;2° Dose;3084
LINDÓIA;1° Dose;637
LINDÓIA;2° Dose;206
LINS;1° Dose;7850
LINS;2° Dose;3210
LORENA;1° Dose;6276
LORENA;2° Dose;2329
LOURDES;1° Dose;299
LOURDES;2° Dose;94
LOUVEIRA;1° Dose;2431
LOUVEIRA;2° Dose;934
LUCÉLIA;1° Dose;1728
LUCÉLIA;2° Dose;627
LUCIANÓPOLIS;1° Dose;271
LUCIANÓPOLIS;2° Dose;61
LUÍS ANTÔNIO;1° Dose;687
LUÍS ANTÔNIO;2° Dose;273
LUIZIÂNIA;1° Dose;363
LUIZIÂNIA;2° Dose;109
LUPÉRCIO;1° Dose;366
LUPÉRCIO;2° Dose;105
LUTÉCIA;1° Dose;288
LUTÉCIA;2° Dose;112
MACATUBA;1° Dose;1264
MACATUBA;2° Dose;486
MACAUBAL;1° Dose;823
MACAUBAL;2° Dose;286
MACEDÔNIA;1° Dose;212
MACEDÔNIA;2° Dose;62
MAGDA;1° Dose;403
MAGDA;2° Dose;118
MAIRINQUE;1° Dose;2646
MAIRINQUE;2° Dose;954
MAIRIPORÃ;1° Dose;5142
MAIRIPORÃ;2° Dose;1680
MANDURI;1° Dose;871
MANDURI;2° Dose;226
MARABÁ PAULISTA;1° Dose;333
MARABÁ PAULISTA;2° Dose;83
MARACAÍ;1° Dose;1033
MARACAÍ;2° Dose;300
MARAPOAMA;1° Dose;259
MARAPOAMA;2° Dose;107
MARIÁPOLIS;1° Dose;282
MARIÁPOLIS;2° Dose;97
MARÍLIA;1° Dose;21247
MARÍLIA;2° Dose;10063
MARINÓPOLIS;1° Dose;263
MARINÓPOLIS;2° Dose;94
MARTINÓPOLIS;1° Dose;2079
MARTINÓPOLIS;2° Dose;623
MATÃO;1° Dose;5651
MATÃO;2° Dose;2202
MAUÁ;1° Dose;21214
MAUÁ;2° Dose;8624
MENDONÇA;1° Dose;431
MENDONÇA;2° Dose;235
MERIDIANO;1° Dose;391
MERIDIANO;2° Dose;125
MESÓPOLIS;1° Dose;134
MESÓPOLIS;2° Dose;62
MIGUELÓPOLIS;1° Dose;1756
MIGUELÓPOLIS;2° Dose;527
MINEIROS DO TIETÊ;1° Dose;931
MINEIROS DO TIETÊ;2° Dose;273
MIRA ESTRELA;1° Dose;309
MIRA ESTRELA;2° Dose;94
MIRACATU;1° Dose;1183
MIRACATU;2° Dose;362
MIRANDÓPOLIS;1° Dose;2395
MIRANDÓPOLIS;2° Dose;1004
MIRANTE DO PARANAPANEMA;1° Dose;1439
MIRANTE DO PARANAPANEMA;2° Dose;590
MIRASSOL;1° Dose;4519
MIRASSOL;2° Dose;1559
MIRASSOLÂNDIA;1° Dose;394
MIRASSOLÂNDIA;2° Dose;132
MOCOCA;1° Dose;6183
MOCOCA;2° Dose;2314
MOGI DAS CRUZES;1° Dose;27256
MOGI DAS CRUZES;2° Dose;10097
MOGI GUAÇU;1° Dose;10921
MOGI GUAÇU;2° Dose;3926
MOGI MIRIM;1° Dose;7322
MOGI MIRIM;2° Dose;3117
MOMBUCA;1° Dose;235
MOMBUCA;2° Dose;99
MONÇÕES;1° Dose;317
MONÇÕES;2° Dose;104
MONGAGUÁ;1° Dose;3772
MONGAGUÁ;2° Dose;861
MONTE ALEGRE DO SUL;1° Dose;767
MONTE ALEGRE DO SUL;2° Dose;227
MONTE ALTO;1° Dose;4791
MONTE ALTO;2° Dose;1526
MONTE APRAZÍVEL;1° Dose;2215
MONTE APRAZÍVEL;2° Dose;1031
MONTE AZUL PAULISTA;1° Dose;1497
MONTE AZUL PAULISTA;2° Dose;482
MONTE CASTELO;1° Dose;420
MONTE CASTELO;2° Dose;142
MONTE MOR;1° Dose;2852
MONTE MOR;2° Dose;774
MONTEIRO LOBATO;1° Dose;396
MONTEIRO LOBATO;2° Dose;130
MORRO AGUDO;1° Dose;1963
MORRO AGUDO;2° Dose;825
MORUNGABA;1° Dose;907
MORUNGABA;2° Dose;287
MOTUCA;1° Dose;281
MOTUCA;2° Dose;80
MURUTINGA DO SUL;1° Dose;452
MURUTINGA DO SUL;2° Dose;158
NANTES;1° Dose;206
NANTES;2° Dose;71
NARANDIBA;1° Dose;334
NARANDIBA;2° Dose;129
NATIVIDADE DA SERRA;1° Dose;530
NATIVIDADE DA SERRA;2° Dose;170
NAZARÉ PAULISTA;1° Dose;1240
NAZARÉ PAULISTA;2° Dose;314
NEVES PAULISTA;1° Dose;1202
NEVES PAULISTA;2° Dose;389
NHANDEARA;1° Dose;1393
NHANDEARA;2° Dose;407
NIPOÃ;1° Dose;306
NIPOÃ;2° Dose;71
NOVA ALIANÇA;1° Dose;617
NOVA ALIANÇA;2° Dose;226
NOVA CAMPINA;1° Dose;454
NOVA CAMPINA;2° Dose;148
NOVA CANAÃ PAULISTA;1° Dose;264
NOVA CANAÃ PAULISTA;2° Dose;56
NOVA CASTILHO;1° Dose;98
NOVA CASTILHO;2° Dose;47
NOVA EUROPA;1° Dose;632
NOVA EUROPA;2° Dose;213
