Ds Município;Dose;Contagem de Id Vacinacao
GUARATINGUETÁ;2° Dose;3659
GUAREÍ;1° Dose;853
GUAREÍ;2° Dose;285
GUARIBA;1° Dose;2181
GUARIBA;2° Dose;710
GUARUJÁ;1° Dose;19803
GUARUJÁ;2° Dose;4484
GUARULHOS;1° Dose;66936
GUARULHOS;2° Dose;26275
GUATAPARÁ;1° Dose;552
GUATAPARÁ;2° Dose;137
GUZOLÂNDIA;1° Dose;398
GUZOLÂNDIA;2° Dose;98
HERCULÂNDIA;1° Dose;717
HERCULÂNDIA;2° Dose;209
HOLAMBRA;1° Dose;1008
HOLAMBRA;2° Dose;302
HORTOLÂNDIA;1° Dose;10509
HORTOLÂNDIA;2° Dose;3822
IACANGA;1° Dose;1131
IACANGA;2° Dose;295
IACRI;1° Dose;592
IACRI;2° Dose;194
IARAS;1° Dose;440
IARAS;2° Dose;138
IBATÉ;1° Dose;1967
IBATÉ;2° Dose;562
IBIRÁ;1° Dose;1341
IBIRÁ;2° Dose;410
IBIRAREMA;1° Dose;722
IBIRAREMA;2° Dose;243
IBITINGA;1° Dose;5033
IBITINGA;2° Dose;1783
IBIÚNA;1° Dose;4909
IBIÚNA;2° Dose;1467
ICÉM;1° Dose;740
ICÉM;2° Dose;241
IEPÊ;1° Dose;905
IEPÊ;2° Dose;298
IGARAÇU DO TIETÊ;1° Dose;1153
IGARAÇU DO TIETÊ;2° Dose;308
IGARAPAVA;1° Dose;2254
IGARAPAVA;2° Dose;798
IGARATÁ;1° Dose;859
IGARATÁ;2° Dose;245
IGUAPE;1° Dose;2700
IGUAPE;2° Dose;759
ILHA COMPRIDA;1° Dose;987
ILHA COMPRIDA;2° Dose;241
ILHA SOLTEIRA;1° Dose;3042
ILHA SOLTEIRA;2° Dose;928
ILHABELA;1° Dose;2329
ILHABELA;2° Dose;944
INDAIATUBA;1° Dose;19600
INDAIATUBA;2° Dose;6171
INDIANA;1° Dose;520
INDIANA;2° Dose;147
INDIAPORÃ;1° Dose;561
INDIAPORÃ;2° Dose;158
INÚBIA PAULISTA;1° Dose;437
INÚBIA PAULISTA;2° Dose;135
IPAUSSU;1° Dose;1174
IPAUSSU;2° Dose;362
IPERÓ;1° Dose;1513
IPERÓ;2° Dose;413
IPEÚNA;1° Dose;433
IPEÚNA;2° Dose;122
IPIGUÁ;1° Dose;477
IPIGUÁ;2° Dose;117
IPORANGA;1° Dose;554
IPORANGA;2° Dose;377
IPUÃ;1° Dose;1085
IPUÃ;2° Dose;347
IRACEMÁPOLIS;1° Dose;1591
IRACEMÁPOLIS;2° Dose;515
IRAPUÃ;1° Dose;684
IRAPUÃ;2° Dose;219
IRAPURU;1° Dose;786
IRAPURU;2° Dose;188
ITABERÁ;1° Dose;1367
ITABERÁ;2° Dose;366
ITAÍ;1° Dose;1716
ITAÍ;2° Dose;505
ITAJOBI;1° Dose;1500
ITAJOBI;2° Dose;497
ITAJU;1° Dose;340
ITAJU;2° Dose;97
ITANHAÉM;1° Dose;8022
ITANHAÉM;2° Dose;3155
ITAOCA;1° Dose;377
ITAOCA;2° Dose;201
ITAPECERICA DA SERRA;1° Dose;8741
ITAPECERICA DA SERRA;2° Dose;3473
ITAPETININGA;1° Dose;14248
ITAPETININGA;2° Dose;4950
ITAPEVA;1° Dose;7333
ITAPEVA;2° Dose;2436
ITAPEVI;1° Dose;8651
ITAPEVI;2° Dose;2869
ITAPIRA;1° Dose;5493
ITAPIRA;2° Dose;2052
ITAPIRAPUÃ PAULISTA;1° Dose;270
ITAPIRAPUÃ PAULISTA;2° Dose;80
ITÁPOLIS;1° Dose;4053
ITÁPOLIS;2° Dose;1357
ITAPORANGA;1° Dose;1385
ITAPORANGA;2° Dose;403
ITAPUÍ;1° Dose;1008
ITAPUÍ;2° Dose;320
ITAPURA;1° Dose;429
ITAPURA;2° Dose;129
ITAQUAQUECETUBA;1° Dose;9815
ITAQUAQUECETUBA;2° Dose;3682
ITARARÉ;1° Dose;2907
ITARARÉ;2° Dose;896
ITARIRI;1° Dose;1188
ITARIRI;2° Dose;331
ITATIBA;1° Dose;8030
ITATIBA;2° Dose;3121
ITATINGA;1° Dose;1196
ITATINGA;2° Dose;341
ITIRAPINA;1° Dose;1171
ITIRAPINA;2° Dose;472
ITIRAPUÃ;1° Dose;585
ITIRAPUÃ;2° Dose;146
ITOBI;1° Dose;722
ITOBI;2° Dose;210
ITU;1° Dose;13215
ITU;2° Dose;4439
ITUPEVA;1° Dose;2217
ITUPEVA;2° Dose;786
ITUVERAVA;1° Dose;2949
ITUVERAVA;2° Dose;1316
JABORANDI;1° Dose;619
JABORANDI;2° Dose;189
JABOTICABAL;1° Dose;6915
JABOTICABAL;2° Dose;2114
JACAREÍ;1° Dose;19888
JACAREÍ;2° Dose;6006
JACI;1° Dose;681
JACI;2° Dose;341
JACUPIRANGA;1° Dose;1229
JACUPIRANGA;2° Dose;346
JAGUARIÚNA;1° Dose;3677
JAGUARIÚNA;2° Dose;682
JALES;1° Dose;6418
JALES;2° Dose;2113
JAMBEIRO;1° Dose;349
JAMBEIRO;2° Dose;158
JANDIRA;1° Dose;4372
JANDIRA;2° Dose;1346
JARDINÓPOLIS;1° Dose;2502
JARDINÓPOLIS;2° Dose;978
JARINU;1° Dose;1990
JARINU;2° Dose;643
JAÚ;1° Dose;13294
JAÚ;2° Dose;5326
JERIQUARA;1° Dose;297
JERIQUARA;2° Dose;86
JOANÓPOLIS;1° Dose;1277
JOANÓPOLIS;2° Dose;382
JOÃO RAMALHO;1° Dose;262
JOÃO RAMALHO;2° Dose;71
