Municipio;Dose;Contagem de Id Vacinacao
ILHA COMPRIDA;1° Dose;354
ILHA COMPRIDA;2° Dose;68
ILHA SOLTEIRA;1° Dose;1323
ILHA SOLTEIRA;2° Dose;369
ILHABELA;1° Dose;1393
ILHABELA;2° Dose;429
INDAIATUBA;1° Dose;8454
INDAIATUBA;2° Dose;2380
INDIANA;1° Dose;240
INDIANA;2° Dose;62
INDIAPORÃ;1° Dose;208
INDIAPORÃ;2° Dose;64
INÚBIA PAULISTA;1° Dose;181
INÚBIA PAULISTA;2° Dose;45
IPAUSSU;1° Dose;479
IPAUSSU;2° Dose;125
IPERÓ;1° Dose;574
IPERÓ;2° Dose;181
IPEÚNA;1° Dose;171
IPEÚNA;2° Dose;43
IPIGUÁ;1° Dose;155
IPIGUÁ;2° Dose;38
IPORANGA;1° Dose;413
IPORANGA;2° Dose;40
IPUÃ;1° Dose;516
IPUÃ;2° Dose;153
IRACEMÁPOLIS;1° Dose;741
IRACEMÁPOLIS;2° Dose;251
IRAPUÃ;1° Dose;275
IRAPUÃ;2° Dose;59
IRAPURU;1° Dose;254
IRAPURU;2° Dose;68
ITABERÁ;1° Dose;523
ITABERÁ;2° Dose;131
ITAÍ;1° Dose;686
ITAÍ;2° Dose;174
ITAJOBI;1° Dose;691
ITAJOBI;2° Dose;169
ITAJU;1° Dose;133
ITAJU;2° Dose;34
ITANHAÉM;1° Dose;3995
ITANHAÉM;2° Dose;1041
ITAOCA;1° Dose;238
ITAOCA;2° Dose;32
ITAPECERICA DA SERRA;1° Dose;4993
ITAPECERICA DA SERRA;2° Dose;1104
ITAPETININGA;1° Dose;6824
ITAPETININGA;2° Dose;1709
ITAPEVA;1° Dose;3433
ITAPEVA;2° Dose;1045
ITAPEVI;1° Dose;4104
ITAPEVI;2° Dose;1431
ITAPIRA;1° Dose;3463
ITAPIRA;2° Dose;828
ITAPIRAPUÃ PAULISTA;1° Dose;115
ITAPIRAPUÃ PAULISTA;2° Dose;33
ITÁPOLIS;1° Dose;1804
ITÁPOLIS;2° Dose;435
ITAPORANGA;1° Dose;564
ITAPORANGA;2° Dose;183
ITAPUÍ;1° Dose;413
ITAPUÍ;2° Dose;105
ITAPURA;1° Dose;172
ITAPURA;2° Dose;45
ITAQUAQUECETUBA;1° Dose;5289
ITAQUAQUECETUBA;2° Dose;1192
ITARARÉ;1° Dose;1262
ITARARÉ;2° Dose;64
ITARIRI;1° Dose;395
ITARIRI;2° Dose;114
ITATIBA;1° Dose;4383
ITATIBA;2° Dose;1319
ITATINGA;1° Dose;477
ITATINGA;2° Dose;143
ITIRAPINA;1° Dose;637
ITIRAPINA;2° Dose;73
ITIRAPUÃ;1° Dose;210
ITIRAPUÃ;2° Dose;71
ITOBI;1° Dose;321
ITOBI;2° Dose;98
ITU;1° Dose;6119
ITU;2° Dose;1529
ITUPEVA;1° Dose;1165
ITUPEVA;2° Dose;430
ITUVERAVA;1° Dose;1793
ITUVERAVA;2° Dose;327
JABORANDI;1° Dose;272
JABORANDI;2° Dose;92
JABOTICABAL;1° Dose;2874
JABOTICABAL;2° Dose;797
JACAREÍ;1° Dose;8161
JACAREÍ;2° Dose;2428
JACI;1° Dose;500
JACI;2° Dose;179
