mun_id;mun_desc;ano;populacao
3552700;Tabatinga;2021;15.996
3552809;Taboão da Serra;2021;287.155
3552908;Taciba;2021;6.081
3553005;Taguaí;2021;13.503
3553104;Taiaçu;2021;6.048
3553203;Taiúva;2021;6.265
3553302;Tambaú;2021;22.846
3553401;Tanabi;2021;25.147
3553500;Tapiraí;2021;7.705
3553609;Tapiratiba;2021;12.602
3553658;Taquaral;2021;2.753
3553708;Taquaritinga;2021;54.531
3553807;Taquarituba;2021;23.246
3553856;Taquarivaí;2021;5.803
3553906;Tarabai;2021;7.327
3553955;Tarumã;2021;14.951
3554003;Tatuí;2021;121.202
3554102;Taubaté;2021;309.483
3554201;Tejupá;2021;4.707
3554300;Teodoro Sampaio;2021;22.495
3554409;Terra Roxa;2021;9.170
3554508;Tietê;2021;41.405
3554607;Timburi;2021;2.551
3554656;Torre de Pedra;2021;2.325
3554706;Torrinha;2021;9.736
3554755;Trabiju;2021;1.716
3554805;Tremembé;2021;46.364
3554904;Três Fronteiras;2021;5.550
3554953;Tuiuti;2021;6.597
3555000;Tupã;2021;62.720
3555109;Tupi Paulista;2021;14.877
3555208;Turiúba;2021;1.905
3555307;Turmalina;2021;1.789
3555356;Ubarana;2021;6.126
3555406;Ubatuba;2021;89.782
3555505;Ubirajara;2021;4.684
3555604;Uchoa;2021;9.689
3555703;União Paulista;2021;1.751
3555802;Urânia;2021;8.584
3555901;Uru;2021;1.203
3556008;Urupês;2021;13.181
3556107;Valentim Gentil;2021;12.897
3556206;Valinhos;2021;125.800
3556305;Valparaíso;2021;24.099
3556354;Vargem;2021;10.094
3556404;Vargem Grande do Sul;2021;41.684
3556453;Vargem Grande Paulista;2021;53.613
3556503;Várzea Paulista;2021;121.482
3556602;Vera Cruz;2021;10.506
3556701;Vinhedo;2021;78.440
3556800;Viradouro;2021;18.421
3556909;Vista Alegre do Alto;2021;8.091
3556958;Vitória Brasil;2021;1.761
3557006;Votorantim;2021;120.662
3557105;Votuporanga;2021;92.193
3557154;Zacarias;2021;2.574
